label,R_median,R_final,Global_median,PSD_slope,DFA_alpha,MI_median,Entropy_median,Corr_median
0,0.55024064,0.59003043,0.4321458525955677,-4.518993861585527,1.9633148648412144,2.1670342958755198,3.190200981817064,-0.30583283478394296
5,0.6072737,0.64038235,0.4296426624059677,-4.118480122820844,1.915348182214349,2.1502267577834218,3.2043189808147305,-0.27207488835176313
8,0.50599813,0.58221674,0.43570059165358543,-4.122237452973472,1.9649363354878937,2.164731891001485,3.22186049875107,-0.3034237970041844
5,0.6196998,0.6447169,0.4275154434144497,-4.508062941055552,1.9171083103810562,2.1831421771923916,3.1980467929869385,-0.2618412092815923
6,0.54910916,0.6247564,0.433819517493248,-3.8411981257685714,1.9557248971238725,2.1120484291982637,3.1703279187394724,-0.29004428051272424
6,0.5198624,0.60081965,0.4357510581612587,-3.916259978551159,1.9629320469919684,2.159139903299747,3.19251867107548,-0.28687361735224304
5,0.5354336,0.5942654,0.43319471925497055,-4.169402014526576,1.9689225657488745,2.2056234896019165,3.193506188572348,-0.3224690027733358
7,0.570756,0.6295556,0.4324399009346962,-4.181576853827011,1.951561723875461,2.193562835882471,3.203876865740389,-0.29171608977396635
8,0.5806908,0.6295762,0.43208420276641846,-4.281776361733392,1.9527365259335,2.10615259635349,3.1916117788961493,-0.28491782573262536
1,0.70819795,0.74667674,0.4240639917552471,-4.244530895140624,1.9203567068506868,2.0533777496438073,3.1153104621472782,-0.3301733955561099
0,0.60740674,0.6446818,0.4306129477918148,-4.428463320722469,1.9514577265463913,2.170658121295209,3.1961862619857273,-0.25245420150534426
1,0.7008319,0.73188055,0.4238933175802231,-4.44802031465716,1.9647701463713094,2.0253160372726793,3.1227487366087314,-0.27620958413675545
6,0.5818599,0.6286422,0.43220388889312744,-3.9087958112682157,1.9408105732385224,2.138425394787368,3.1671373981104054,-0.2662365764997783
4,0.6171756,0.6542162,0.42937442660331726,-4.329848340615627,1.9203753976022433,2.1018347579479735,3.1972366485885164,-0.26060306948339895
6,0.6647455,0.6871155,0.4248991422355175,-4.761975241289688,1.9685310487967138,2.1336898107472244,3.1039082145047985,-0.26348569088245466
7,0.66014713,0.68269545,0.4250427186489105,-4.445313476077165,1.9264070217700673,2.093140183126729,3.1835129481847617,-0.25875551806229263
3,0.60863847,0.636085,0.4293588325381279,-4.541943833494812,1.9350177742906343,2.10758019145706,3.1913580759655016,-0.2606049187094469
1,0.63667476,0.7530573,0.42693210393190384,-3.76653054272851,1.9195053984825712,2.1214355270333254,3.1873429665525492,-0.42399647150512143
7,0.62672687,0.66007537,0.4290525019168854,-4.36367528077171,1.9182632209069277,2.1643912866381294,3.210701325815497,-0.25427338472009475
1,0.55196935,0.7606511,0.42834094911813736,-3.5941336675366387,1.965565671780384,2.136897880724108,3.1886476398250565,-0.4207050981539944
8,0.5608599,0.62017226,0.4335278794169426,-4.046750848329416,1.9568497664639584,2.1630198934289946,3.174457643083039,-0.30149252768313506
2,0.48510206,0.5683692,0.43574750795960426,-4.08990662010569,1.9748506139793387,2.211371914598443,3.1896108829910435,-0.30317434459755044
0,0.60927033,0.64735967,0.4307103753089905,-4.258449125381133,1.9284561641272753,2.142964026285366,3.19165021973779,-0.25273416746873845
2,0.6449031,0.66852266,0.42489755898714066,-4.63589098538396,1.9348983478123978,2.1281958048970546,3.1532220267258992,-0.25995351486962653
9,0.62380344,0.66321987,0.4288201294839382,-4.6449151325099525,1.9257748063747422,2.123664574602407,3.1997880814849005,-0.2539787792038952
9,0.532621,0.58889407,0.43283427506685257,-4.409097550208694,1.9708206158561659,2.183674862585362,3.191307567170295,-0.31672136439701537
5,0.63151264,0.64772856,0.4267088510096073,-4.122243032992816,1.92082213812024,2.062497549100204,3.193427060835937,-0.2622825304690103
5,0.6289249,0.64953506,0.42698515951633453,-4.661570668281133,1.923485328834018,2.092523465845389,3.175483818446076,-0.25618020622002724
1,0.5467662,0.7507221,0.42829830944538116,-3.283279200311269,1.9285539800670626,2.1049870758318003,3.1698072468321934,-0.4252660976399646
5,0.5721766,0.6231349,0.43186310678720474,-4.065579972349246,1.944921168813581,2.1717955376236073,3.1949970482977106,-0.2705174427339337
6,0.6540277,0.68253636,0.4260239005088806,-4.925313084983325,1.9281707122441347,2.1345027731705057,3.1888015869904573,-0.25389126230185105
0,0.6287829,0.65576845,0.428697369992733,-4.6992908107469145,1.9298603053760524,2.149664059265993,3.1910592909629703,-0.2547079251694179
3,0.6311988,0.66614574,0.4275900274515152,-4.536743503108684,1.9203805712609037,2.164117974202499,3.1817817715306695,-0.269463236998603
4,0.6697147,0.69892627,0.4233899675309658,-4.323652057753877,1.9405303388325408,2.05223561616759,3.1312094010897136,-0.29845651124622086
4,0.6382344,0.6686318,0.42780762910842896,-4.703571083560784,1.923804955060154,2.1471576781913,3.190936626001169,-0.2568323855379222
6,0.58869183,0.62489784,0.4309234097599983,-4.329682258974151,1.9337022918925668,2.1295910949725254,3.19184482435153,-0.258375913840726
5,0.53523946,0.58805156,0.4339495338499546,-4.128228717491454,1.9739908955492955,2.1772232977407793,3.190335774049424,-0.31215857573097977
4,0.5860029,0.6453216,0.4323490895330906,-4.39276647216476,1.950655108448956,2.1156649235290317,3.206015728586685,-0.2748937717200894
